a.1.1.1;Truncated hemoglobin
d.13.1.3;mRNA decapping enzyme DcpS C-terminal domain
d.13.1.4;CDH-like
d.13.2.1;Rotavirus NSP2 fragment, C-terminal domain
d.198.1.1;Type III secretory system chaperone
d.198.1.2;Tll0839-like
d.198.2.1;Arp2/3 complex subunits
d.198.3.1;YjbR-like
d.198.4.1;YdhG-like
d.198.5.1;YgaC-like
d.198.5.2;TfoX N-terminal domain-like
d.285.1.1;DNA-binding domain of intron-encoded endonucleases
d.199.1.1;DNA-binding C-terminal domain of the transcription factor MotA
d.296.1.1;YktB-like
d.296.1.2;PF0168-like
d.232.1.1;Mago nashi protein
d.297.1.1;WGR domain
d.342.1.1;PH1570-like
d.14.1.1;Translational machinery components
d.14.1.2;RNase P protein
d.14.1.3;DNA gyrase/MutL, second domain
d.14.1.8;Hsp90 middle domain
d.14.1.4;Ribonuclease PH domain 1-like
d.14.1.5;GHMP Kinase, N-terminal domain
d.14.1.6;Early switch protein XOL-1, N-terminal domain
d.14.1.7;UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase LpxC
d.14.1.9;Imidazole glycerol phosphate dehydratase
d.14.1.10;ATP-dependent protease Lon (La), catalytic domain
d.14.1.11;YigZ N-terminal domain-like
d.14.1.12;Formaldehyde-activating enzyme, FAE
d.15.1.1;Ubiquitin-related
d.15.1.2;UBX domain
d.15.1.3;GABARAP-like
d.15.1.4;First domain of FERM
d.15.1.5;Ras-binding domain, RBD
d.15.1.6;BM-002-like
d.15.1.7;APG12-like
d.15.1.8;DIX domain
d.15.2.1;CAD domain
d.15.2.2;PB1 domain
d.15.3.1;MoaD
d.15.3.2;ThiS
d.15.3.3;C9orf74 homolog
d.15.3.4;HI0395-like
d.15.10.1;TGS domain
d.15.10.2;G domain-linked domain
d.15.4.1;2Fe-2S ferredoxin-related
d.15.4.2;2Fe-2S ferredoxin domains from multidomain proteins
d.15.5.1;Staphylokinase/streptokinase
d.15.11.1;Doublecortin (DC)
d.15.6.1;Superantigen toxins, C-terminal domain
d.15.7.1;Immunoglobulin-binding domains
d.15.8.1;Translation initiation factor IF3, N-terminal domain
d.15.9.1;Glutamine synthetase, N-terminal domain
d.15.12.1;TmoB-like
d.15.13.1;Nqo1 middle domain-like
d.15.14.1;NSP3A-like
d.343.1.1;MM3350-like
d.289.1.1;WWE domain
d.16.1.1;GMC oxidoreductases
d.16.1.2;PHBH-like
d.16.1.3;D-aminoacid oxidase-like
d.16.1.7;UDP-galactopyranose mutase
d.16.1.5;L-aminoacid/polyamine oxidase
d.16.1.6;GDI-like
d.16.1.8;Electron transfer flavoprotein-ubiquinone oxidoreductase-like
d.17.1.1;Monellin
d.17.1.2;Cystatins
d.17.1.3;Cathelicidin motif
d.17.1.4;Staphopain B, prodomain
d.17.1.5;Latexin-like
d.17.1.6;PepSY-like
d.17.2.1;Amine oxidase N-terminal region
d.17.3.1;DsbC/DsbG N-terminal domain-like
d.17.4.1;Scytalone dehydratase
d.17.4.2;NTF2-like
d.17.4.7;Association domain of calcium/calmodulin-dependent protein kinase type II alpha subunit, CAMK2A
d.17.4.8;Limonene-1,2-epoxide hydrolase-like
d.17.4.9;SnoaL-like polyketide cyclase
d.17.4.10;PhzA/PhzB-like
d.17.4.3;Ketosteroid isomerase-like
d.17.4.4;Ring hydroxylating beta subunit
d.17.4.5;Penicillin binding protein 2a (PBP2A), N-terminal domain
d.17.4.6;Orange carotenoid protein, C-terminal domain
d.17.4.11;Hypothetical protein egc068 from a soil-derived mobile gene cassette
d.17.4.12;PA1314-like
d.17.4.13;TIM44-like
d.17.4.14;Sbal0622-like
d.17.4.15;CHU142-like
d.17.4.16;SO0125-like
d.17.4.17;SAV4671-like
d.17.4.18;BxeB1374-like
d.17.4.19;Atu0744-like
d.17.4.20;Rpa4348-like
d.17.4.21;Ava4193-like
d.17.4.22;YybH-like
d.17.4.23;PFL3262-like
d.17.4.24;Exig0174-like
d.17.4.25;Rv3472-like
d.17.4.26;VirB8-like
d.17.4.27;ECA1476-like
d.17.4.28;BaiE/LinA-like
d.17.4.29;Atu0742-like
d.17.4.30;SEC-C associated NTF2-like domain
d.17.5.1;Uracil-DNA glycosylase inhibitor protein
d.17.7.1;Putative dsDNA mimic
d.17.6.1;Archaeosine tRNA-guanine transglycosylase, C2 domain
d.17.6.2;Hypothetical protein Ta1423, N-terminal domain
d.17.6.3;Nip7p homolog, N-terminal domain
d.17.6.4;Hypothetical protein APE0525, N-terminal domain
d.17.6.5;AF0587 pre C-terminal domain-like
d.221.1.1;Nuclease A inhibitor (NuiA)
d.243.1.1;Colicin D nuclease domain
d.243.1.2;Colicin E5 nuclease domain
d.298.1.1;YoeB/Txe-like
d.298.1.2;RelE-like
d.267.1.1;Hypothetical protein SAV1430
d.299.1.1;Ns1 effector domain-like
d.222.1.1;YbaB-like
d.300.1.1;Spc25-like
d.300.1.2;Spc24-like
d.301.1.1;Ribosomal protein L35p
d.244.1.1;Cell division protein ZapA-like
d.18.1.1;Transcriptional coactivator PC4 C-terminal domain
d.18.1.2;Plant transcriptional regulator PBF-2
d.18.1.3;PMN2A0962/syc2379c-like
d.18.1.4;Guide RNA binding protein gBP
d.187.1.1;Photosystem I subunit PsaD
d.344.1.1;YqbF N-terminal domain-like
d.344.1.2;PSF2 N-terminal domain-like
d.344.1.3;SLD5 C-terminal domain-like
d.344.1.4;PSF3 N-terminal domain-like
d.19.1.1;MHC antigen-recognition domain
d.20.1.1;UBC-related
d.20.1.2;UEV domain
d.20.1.3;RWD domain
d.20.1.4;UFC1-like
d.217.1.1;SAND domain
d.217.1.2;SMAD4-binding domain of oncoprotein Ski
d.345.1.1;USP8 interacting domain
d.302.1.1;Coronavirus NSP8-like
d.268.1.1;ParB-like nuclease domain
d.268.1.2;Hypothetical protein PF0380
d.268.1.3;Atu1540-like
d.268.1.4;Sulfiredoxin-like
d.269.1.1;Gamma-glutamyl cyclotransferase-like
d.303.1.1;BB1717-like
d.346.1.1;SARS Nsp1-like
d.347.1.1;Acetoacetate decarboxylase-like
d.290.1.1;Alpha-acetolactate decarboxylase-like
d.290.1.2;PTD012-like
d.290.1.3;AF0104-like
d.245.1.1;NSFL1 (p97 ATPase) cofactor p47, SEP domain
d.304.1.1;TTHA1013-like
d.304.1.2;TTHA0281-like
d.348.1.1;YegP-like
d.21.1.1;Diaminopimelate epimerase
d.21.1.2;PhzC/PhzF-like
d.21.1.3;Proline racemase
d.21.1.4;PA0793-like
d.22.1.1;Fluorescent proteins
d.22.1.2;Domain G2 of nidogen-1
d.23.1.1;Transcriptional factor tubby, C-terminal domain
d.23.1.2;At5g01750-like
d.24.1.1;Pilin
d.24.1.2;TcpA-like pilin
d.24.1.3;Pseudopilin
d.24.1.4;YadA C-terminal domain-like
d.24.1.5;EpsJ-like
d.24.1.6;GspK pilin-like domain
d.24.1.7;GSPII I/J protein-like
d.25.1.1;Mitochondrial glycoprotein MAM33-like
d.305.1.1;NAP-like
d.223.1.2;Polo-box duplicated region
d.223.1.1;Swapped Polo-box domain
d.246.1.1;mRNA decapping enzyme DcpS N-terminal domain
d.233.1.1;Inhibitor of vertebrate lysozyme, Ivy
d.26.1.1;FKBP immunophilin/proline isomerase
d.26.1.2;GreA transcript cleavage factor, C-terminal domain
d.26.1.3;3-mercaptopyruvate sulfurtransferase, C-terminal domain
d.26.2.1;Colicin E3 immunity protein
d.26.3.1;Chitinase insertion domain
d.27.1.1;Ribosomal protein S16
d.28.1.1;Ribosomal protein S19
d.306.1.1;YefM-like
d.29.1.1;Ribosomal protein L31e
d.30.1.1;Allophycocyanin linker chain (domain)
d.31.1.1;Cdc48 domain 2-like
d.32.1.1;Glyoxalase I (lactoylglutathione lyase)
d.32.1.2;Antibiotic resistance proteins
d.32.1.4;Methylmalonyl-CoA epimerase
d.32.1.5;Hypothetical protein YecM (EC4020)
d.32.1.3;Extradiol dioxygenases
d.32.1.6;Hypothetical protein BC1747
d.32.1.7;3-demethylubiquinone-9 3-methyltransferase
d.32.1.8;Hypothetical protein YycE
d.32.1.9;Hypothetical protein At5g48480
d.32.1.10;BC1024-like
d.247.1.1;Chromosomal protein MC1
d.349.1.1;CPE0013-like
d.211.1.1;Ankyrin repeat
d.211.2.1;Plakin repeat
d.234.1.1;Proguanylin
d.33.1.1;Bacterial protein-export protein SecB
d.33.1.2;SP1558-like
d.229.1.1;MesJ substrate recognition domain-like
d.235.1.1;Hypothetical protein Yhr087W
d.235.1.2;Hypothetical protein AF0491, N-terminal domain
d.213.1.1;VSV matrix protein
d.34.1.1;DNA-binding domain of Mlu1-box binding protein MBP1
d.35.1.1;Heme-binding protein A (HasA)
d.36.1.1;Chalcone isomerase
d.248.1.1;Coproporphyrinogen III oxidase
d.249.1.1;Hypothetical protein Ta1206
d.37.1.1;CBS-domain pair
d.38.1.1;4HBT-like
d.38.1.2;beta-Hydroxydecanol thiol ester dehydrase
d.38.1.3;Acyl-CoA thioesterase
d.38.1.4;MaoC-like
d.38.1.5;PaaI/YdiI-like
d.38.1.6;FabZ-like
d.38.1.7;TTHA0967-like
d.38.1.8;Acyl-ACP thioesterase-like
d.39.1.1;DLC
d.40.1.1;CI-2 family of serine protease inhibitors
d.200.1.1;Integrin beta tail domain
d.350.1.1;YcgL-like
d.41.1.1;CO dehydrogenase molybdoprotein N-domain-like
d.41.2.1;NadC N-terminal domain-like
d.41.2.2;Monomeric nicotinate phosphoribosyltransferase N-terminal domain-like
d.41.3.1;Pyrimidine nucleoside phosphorylase C-terminal domain
d.41.4.1;Ribosomal protein L10e
d.41.4.2;Ribosomal protein L16p
d.41.5.1;Molybdopterin synthase subunit MoaE
d.42.1.1;BTB/POZ domain
d.42.1.2;Tetramerization domain of potassium channels
d.43.1.1;Elongation factor Ts (EF-Ts), dimerisation domain
d.43.2.1;Band 7/SPFH domain
d.44.1.1;Fe,Mn superoxide dismutase (SOD), C-terminal domain
d.45.1.1;Ribosomal protein L7/12, C-terminal domain
d.45.1.2;Adaptor protein ClpS (YljA)
d.214.1.1;Hypothetical protein MTH1880
d.47.1.1;Ribosomal L11/L12e N-terminal domain
d.48.1.1;RecA protein, C-terminal domain
d.48.2.1;Anti-lipopolysaccharide factor
d.49.1.1;Signal recognition particle alu RNA binding heterodimer, SRP9/14
d.50.1.1;Double-stranded RNA-binding domain (dsRBD)
d.50.1.3;The homologous-pairing domain of Rad52 recombinase
d.50.1.2;Ribosomal S5 protein, N-terminal domain
d.50.2.1;Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain
d.50.3.1;PI-Pfui intein middle domain
d.50.3.2;YcfA-like
d.50.3.3;YkfF-like
d.50.4.1;Peptidyl-tRNA hydrolase domain
d.50.5.1;Rv2632c-like
d.270.1.1;2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain
d.351.1.1;NMB0488-like
d.201.1.1;SRP19
d.224.1.1;SufE-like
d.224.1.2;NifU/IscU domain
d.224.1.3;SP1160 C-terminal domain-like
d.352.1.1;FlaG-like
d.353.1.1;AMPKBI-like
d.236.1.1;DNA-binding protein Tfx
d.51.1.1;Eukaryotic type KH-domain (KH-domain type I)
d.52.1.1;Alpha-lytic protease prodomain
d.52.2.1;GMP synthetase C-terminal dimerisation domain
d.52.3.1;Prokaryotic type KH domain (KH-domain type II)
d.52.5.1;Probable GTPase Der, C-terminal domain
d.52.7.1;Ribosome-binding factor A, RbfA
d.52.4.1;YhbC-like, N-terminal domain
d.52.6.1;BolA-like
d.52.8.1;NifU C-terminal domain-like
d.52.8.2;PaaD-like
d.52.9.1;Cation efflux protein cytoplasmic domain-like
d.52.10.1;GSPII protein E N-terminal domain-like
d.218.1.5;Catalytic subunit of bi-partite nucleotidyltransferase
d.218.1.1;Kanamycin nucleotidyltransferase (KNTase), N-terminal domain
d.218.1.3;Poly(A) polymerase, PAP, N-terminal domain
d.218.1.6;2'-5'-oligoadenylate synthetase 1, OAS1, N-terminal domain
d.218.1.7;Archaeal tRNA CCA-adding enzyme catalytic domain
d.218.1.2;DNA polymerase beta-like
d.218.1.4;Poly A polymerase head domain-like
d.218.1.8;RelA/SpoT domain
d.218.1.9;GlnE-like domain
d.218.1.10;RNA editing terminal uridyl transferase 2, RET2, catalytic domain
d.218.1.11;TM1012-like
d.218.1.12;Iojap/YbeB-like
d.218.1.13;AadK N-terminal domain-like
d.218.1.14;GrpB-like
d.307.1.1;Nqo5-like
d.53.1.1;Ribosomal protein S3 C-terminal domain
d.202.1.1;Transcription factor NusA, N-terminal domain
d.54.1.1;Enolase N-terminal domain-like
d.55.1.1;Ribosomal protein L22
d.188.1.1;Prokaryotic ribosomal protein L17
d.56.1.1;GroEL-like chaperone, intermediate domain
d.56.1.2;Group II chaperonin (CCT, TRIC), intermediate domain
d.189.1.1;PX domain
d.354.1.1;Shew3726-like
d.203.1.1;DsrC, the gamma subunit of dissimilatory sulfite reductase
d.57.1.1;DNA damage-inducible protein DinI
d.271.1.1;HSP90 C-terminal domain
d.58.1.1;Short-chain ferredoxins
d.58.1.2;7-Fe ferredoxin
d.58.1.3;Archaeal ferredoxins
d.58.1.4;Single 4Fe-4S cluster ferredoxin
d.58.1.5;Ferredoxin domains from multidomain proteins
d.58.1.6;ETF-QO domain-like
d.58.2.1;Aspartate carbamoyltransferase, Regulatory-chain, N-terminal domain
d.58.3.1;Pancreatic carboxypeptidase, activation domain
d.58.3.2;Subtilase propeptides/inhibitors
d.58.3.3;Prohormone convertase 1 pro-domain
d.58.4.3;Actinorhodin biosynthesis monooxygenase ActVa-Orf6
d.58.4.4;Plant stress-induced protein
d.58.4.5;PG130-like
d.58.4.6;Hypothetical protein YjcS
d.58.4.7;YciI-like
d.58.4.1;Muconalactone isomerase, MLI
d.58.4.2;Lrp/AsnC-like transcriptional regulator C-terminal domain
d.58.4.8;Polyketide synthesis cyclase
d.58.4.9;DGPF domain (Pfam 04946)
d.58.4.10;Chlorite dismutase-like
d.58.4.11;PA3566-like
d.58.4.12;Hypothetical protein YdhR
d.58.4.13;NIPSNAP
d.58.4.14;Dyp-type peroxidase-like
d.58.4.15;EthD-like
d.58.4.16;Atu0297-like
d.58.4.17;SOR-like
d.58.4.18;YbaA-like
d.58.4.19;MmlI-like
d.58.4.20;Marine metagenome family DABB2
d.58.4.21;YiiL-like
d.58.4.22;Marine metagenome family DABB1
d.58.4.23;Marine metagenome family DABB3
d.58.5.1;Prokaryotic signal transducing protein
d.58.5.2;Divalent ion tolerance proteins CutA (CutA1)
d.58.5.4;DUF190/COG1993
d.58.5.3;ATP phosphoribosyltransferase (ATP-PRTase, HisG), regulatory C-terminal domain
d.58.5.5;RPA1041-like
d.58.41.1;SEA domain
d.58.6.1;Nucleoside diphosphate kinase, NDK
d.58.7.1;Canonical RBD
d.58.7.2;Non-canonical RBD domain
d.58.7.3;Splicing factor U2AF subunits
d.58.7.4;Smg-4/UPF3
d.58.7.5;GUCT domain
d.58.8.1;Viral DNA-binding domain
d.58.9.1;Ribulose 1,5-bisphosphate carboxylase-oxygenase
d.58.10.1;Acylphosphatase-like
d.58.10.2;BLUF domain
d.58.11.1;EF-G/eEF-2 domains III and V
d.58.11.2;YigZ C-terminal domain-like
d.58.11.3;Hypothetical protein AF0491, C-terminal domain
d.58.12.1;eEF-1beta-like
d.58.46.1;eEF1-gamma domain
d.58.13.1;Anticodon-binding domain of PheRS
d.58.14.1;Ribosomal protein S6
d.58.15.1;Ribosomal protein S10
d.58.42.1;N-utilization substance G protein NusG, N-terminal domain
d.58.16.1;Poly(A) polymerase, PAP, C-terminal domain
d.58.16.2;Archaeal tRNA CCA-adding enzyme
d.58.17.1;HMA, heavy metal-associated domain
d.58.38.1;Urease metallochaperone UreE, C-terminal domain
d.58.18.1;Phosphoglycerate dehydrogenase, regulatory (C-terminal) domain
d.58.18.2;Allosteric threonine deaminase C-terminal domain
d.58.18.3;Phenylalanine metabolism regulatory domain
d.58.18.4;Nickel responsive regulator NikR, C-terminal domain
d.58.18.5;Glycine cleavage system transcriptional repressor
d.58.18.6;IlvH-like
d.58.18.7;SP0238-like
d.58.18.8;Atu0741-like
d.58.18.9;VC0802-like
d.58.18.10;Aspartokinase allosteric domain-like
d.58.18.11;BT0572-like
d.58.18.12;AF1403 N-terminal domain-like
d.58.18.13;NIL domain-like
d.58.18.14;TM1266-like
d.58.19.1;Bacterial exopeptidase dimerisation domain
d.58.20.1;NAD-binding domain of HMG-CoA reductase
d.58.21.1;Molybdenum cofactor biosynthesis protein C, MoaC
d.58.22.1;TRADD, N-terminal domain
d.58.23.1;Probable ACP-binding domain of malonyl-CoA ACP transacylase
d.58.24.1;CheY-binding domain of CheA
d.58.40.1;D-ribose-5-phosphate isomerase (RpiA), lid domain
d.58.25.1;Killer toxin KP6 alpha-subunit
d.58.47.1;Hypothetical protein VC0424
d.58.50.1;Hypothetical protein TT1725
d.58.43.1;Mechanosensitive channel protein MscS (YggB), C-terminal domain
d.58.26.7;Galactokinase
d.58.26.1;Homoserine kinase
d.58.26.3;Mevalonate kinase
d.58.26.4;Phosphomevalonate kinase (PMK)
d.58.26.2;Mevalonate 5-diphosphate decarboxylase
d.58.26.5;4-(cytidine 5'-diphospho)-2C-methyl-D-erythritol kinase IspE
d.58.26.6;Early switch protein XOL-1
d.58.27.1;Translational regulator protein regA
d.58.28.1;Peptide methionine sulfoxide reductase
d.58.29.1;Adenylyl and guanylyl cyclase catalytic domain
d.58.29.2;GGDEF domain
d.58.30.1;6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK
d.58.39.1;Glutamyl tRNA-reductase catalytic, N-terminal domain
d.58.48.1;MTH1187-like
d.58.48.2;Putative thiamin/HMP-binding protein YkoF
d.58.31.1;Methyl-coenzyme M reductase gamma chain
d.58.31.2;Methyl-coenzyme M reductase alpha and beta chain N-terminal domain
d.58.32.1;Vanillyl-alcohol oxidase-like
d.58.32.2;D-lactate dehydrogenase
d.58.32.3;Cholesterol oxidase
d.58.32.4;Cytokinin dehydrogenase 1
d.58.33.1;Formylmethanofuran:tetrahydromethanopterin formyltransferase
d.58.34.1;Formiminotransferase domain of formiminotransferase-cyclodeaminase.
d.58.36.1;Duplicated SiR/NiR-like domains 1 and 3
d.58.36.2;DsrA/DsrB N-terminal-domain-like
d.58.44.1;Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains
d.58.49.1;YajQ-like
d.58.51.1;eIF-2-alpha, C-terminal domain
d.58.52.1;Sporulation related repeat
d.58.53.1;CRISPR-associated protein
d.58.54.1;YbeD-like
d.58.54.2;HP0495-like
d.58.55.1;DOPA dioxygenase-like
d.58.56.1;CcmK-like
d.58.57.1;Transposase IS200-like
d.58.58.1;TTP0101/SSO1404-like
d.58.59.1;Rpp14/Pop5-like
d.58.60.1;FepE-like
d.58.61.1;MTH889-like
d.58.62.1;Ribosomal protein L10-like
d.284.1.1;PurS subunit of FGAM synthetase
d.284.1.2;FGAM synthase PurL, PurS-like domain
d.355.1.1;RplX-like
d.272.1.1;Dystroglycan, domain 2
d.265.1.1;Pseudouridine synthase I TruA
d.265.1.2;Pseudouridine synthase II TruB
d.265.1.3;Pseudouridine synthase RsuA/RluD
d.265.1.4;tRNA pseudouridine synthase TruD
d.356.1.1;SP0830-like
d.250.1.1;Aminomethyltransferase folate-binding domain
d.250.1.2;TrmE formyl-THF-binding domain
d.308.1.1;THUMP domain
d.308.1.2;PAE0736-like
d.308.1.3;Minimal THUMP
d.309.1.1;AMMECR1-like
d.357.1.1;NosL-like
d.357.1.2;MerB-like
d.291.1.1;YehU-like
d.251.1.1;Hypothetical protein YwqG
d.310.1.1;VC0467-like
d.240.1.1;Lesion bypass DNA polymerase (Y-family), little finger domain
d.311.1.1;ImmE5-like
d.59.1.1;Ribosomal protein L30p/L7e
d.190.1.1;Chorismate lyase
d.190.1.2;UTRA domain
d.190.1.3;AF1396-like
d.358.1.1;YdfO-like
d.312.1.1;TM1622-like
d.359.1.1;BH3703-like
d.60.1.3;Gyrase inhibitory protein GyrI (SbmC, YeeB)
d.60.1.1;Multidrug-binding domain of transcription activator BmrR
d.60.1.2;Rob transcription factor, C-terminal domain
d.60.1.4;SOUL heme-binding protein
d.252.1.1;CheC-like
d.61.1.1;tRNA splicing product Appr>p cyclic nucleotide phosphodiesterase
d.61.1.2;2'-5' RNA ligase LigT
d.61.1.3;2',3'-cyclic nucleotide 3'-phosphodiesterase, catalytic domain
d.61.1.4;Atu0111-like
d.62.1.1;Pepsin inhibitor-3
d.63.1.1;mRNA triphosphatase CET1
d.63.1.2;CYTH domain
d.313.1.1;Prenyltransferase-like
d.64.1.1;eIF1-like
d.64.2.1;TM1457-like
d.65.1.1;Muramoyl-pentapeptide carboxypeptidase
d.65.1.3;MepA-like
d.65.1.4;VanX-like
d.65.1.2;Hedgehog (development protein), N-terminal signaling domain
d.65.1.5;VanY-like
d.66.1.2;Ribosomal protein S4
d.66.1.3;Heat shock protein 15 kD
d.66.1.4;Tyrosyl-tRNA synthetase (TyrRS), C-terminal domain
d.66.1.6;YbcJ-like
d.66.1.5;Pseudouridine synthase RsuA N-terminal domain
d.67.1.1;Threonyl-tRNA synthetase (ThrRS), second 'additional' domain
d.67.1.2;AlaX-like
d.67.2.1;Arginyl-tRNA synthetase (ArgRS), N-terminal 'additional' domain
d.67.3.1;Ribosome recycling factor, RRF
d.67.4.1;General secretion pathway protein M, EpsM
d.185.1.2;Autoinducer-2 production protein LuxS
d.185.1.1;MPP-like
d.68.1.1;Translation initiation factor IF3, C-terminal domain
d.68.4.1;YhbY-like
d.68.3.3;SirA-like
d.68.6.1;DNA-binding protein AlbA
d.68.6.2;Hypothetical protein At2g34160
d.68.5.1;C-terminal domain of ProRS
d.68.7.1;R3H domain
d.68.2.1;RNA 3'-terminal phosphate cyclase, RPTC
d.68.2.2;Enolpyruvate transferase, EPT
d.68.8.1;Smr domain
d.314.1.1;PUG domain
d.360.1.1;PG1857-like
d.361.1.1;PB2 C-terminal domain-like
d.204.1.1;Ribosome binding protein Y (YfiA homologue)
d.212.1.1;TolA
d.212.1.2;TonB
d.70.1.1;Virally encoded KP4 toxin
d.70.1.2;SMK toxin
d.71.1.1;Cell division protein MinE topological specificity domain
d.253.1.1;Hypothetical protein YoaG
d.362.1.1;BLRF2-like
d.254.1.1;Arterivirus nucleocapsid protein
d.254.1.2;Coronavirus nucleocapsid protein
d.72.1.1;Cyanase C-terminal domain
d.225.1.1;Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains
d.73.1.1;RuBisCO, small subunit
d.74.1.1;PCD-like
d.74.2.1;C-terminal domain of arginine repressor
d.74.3.2;RBP11/RpoL
d.74.3.1;RNA polymerase alpha subunit dimerisation domain
d.74.4.1;GAD domain
d.74.4.2;PH0730 C-terminal domain-like
d.74.5.1;PH0987 N-terminal domain-like
d.315.1.1;TRCF domain
d.363.1.1;NMB0513-like
d.364.1.1;PA1123-like
d.263.1.1;Hypothetical protein Yml108w
d.75.1.1;tRNA-intron endonuclease N-terminal domain-like
d.75.2.1;DNA repair protein MutS, domain I
d.76.1.1;GYF domain
d.76.2.1;BRK domain-like
d.205.1.1;GTP cyclohydrolase I feedback regulatory protein, GFRP
d.77.1.1;Ribosomal protein L5
d.77.1.2;SSO1042-like
d.78.1.1;RPB5
d.79.1.1;YjgF/L-PSP
d.79.1.2;Chorismate mutase
d.79.5.1;IpsF-like
d.79.2.1;Tubulin, C-terminal domain
d.79.3.1;L30e/L7ae ribosomal proteins
d.79.3.3;RNA 2'-O ribose methyltransferase substrate binding domain
d.79.3.2;ERF1/Dom34 C-terminal domain-like
d.79.4.1;PurM N-terminal domain-like
d.79.6.1;Holliday junction resolvase RusA
d.79.7.1;OmpA-like
d.79.8.1;YueI-like
d.79.9.1;BB2672-like
d.273.1.1;YjbQ-like
d.80.1.1;4-oxalocrotonate tautomerase-like
d.80.1.2;5-carboxymethyl-2-hydroxymuconate isomerase (CHMI)
d.80.1.3;MIF-related
d.80.1.4;Hypothetical protein HI1388.1
d.80.1.5;VC0714-like
d.80.1.6;MSAD-like
d.81.1.1;GAPDH-like
d.81.1.2;Homoserine dehydrogenase-like
d.81.1.3;Dihydrodipicolinate reductase-like
d.81.1.4;Biliverdin reductase
d.81.1.5;Glucose 6-phosphate dehydrogenase-like
d.81.2.1;Serine dehydratase beta chain-like
d.81.2.2;SerA intervening domain-like
d.81.3.1;FwdE-like
d.81.4.1;V-type ATPase subunit E
d.365.1.1;Ava3019-like
d.274.1.1;Hypothetical protein PF0899
d.183.1.1;Major capsid protein gp5
d.316.1.1;MK0786-like
d.317.1.1;YkuJ-like
d.82.1.1;Copper amine oxidase, domain N
d.82.2.1;Frataxin-like
d.82.2.2;Nqo15-like
d.82.3.1;Hypothetical protein c14orf129, hspc210
d.82.4.1;GAS2 domain
d.82.5.1;GK1464-like
d.83.2.1;Activator of Hsp90 ATPase, Aha1
d.83.1.1;Bactericidal permeability-increasing protein, BPI
d.366.1.1;SpoVG-like
d.84.1.1;Subtilisin inhibitor
d.85.1.1;RNA bacteriophage capsid protein
d.86.1.1;Translation initiation factor eIF4e
d.86.1.2;BLES03-like
d.87.1.1;FAD/NAD-linked reductases, dimerisation (C-terminal) domain
d.87.2.1;CO dehydrogenase flavoprotein C-terminal domain-like
d.88.1.1;SRF-like
d.89.1.1;The origin DNA-binding domain of SV40 T-antigen
d.89.1.4;DNA-binding domain of REP protein
d.89.1.2;Replication initiation protein E1
d.89.1.3;Replication protein Rep, nuclease domain
d.89.1.5;Relaxase domain
d.318.1.1;SARS receptor-binding domain-like
d.275.1.1;Hut operon positive regulatory protein HutP
d.276.1.1;Hypothetical protein yfbM
d.319.1.1;TTHA1528-like
d.320.1.1;YojJ-like
d.321.1.1;STIV B116-like
d.277.1.1;Bacillus phage protein
d.90.1.1;NADH oxidase/flavin reductase
d.90.1.2;Putative nitroreductase TM1586
d.91.1.1;N-terminal domain of eukaryotic peptide chain release factor subunit 1, ERF1
d.367.1.1;EscU C-terminal domain-like
d.92.1.1;Zinc protease
d.92.1.12;Fungal zinc peptidase
d.92.1.2;Thermolysin-like
d.92.1.13;Leukotriene A4 hydrolase catalytic domain
d.92.1.4;Neutral endopeptidase (neprilysin)
d.92.1.5;Neurolysin-like
d.92.1.14;Anthrax toxin lethal factor, N- and C-terminal domains
d.92.1.3;Leishmanolysin
d.92.1.6;Serralysin-like metalloprotease, catalytic (N-terminal) domain
d.92.1.7;Clostridium neurotoxins, catalytic domain
d.92.1.8;Astacin
d.92.1.9;Reprolysin-like
d.92.1.10;TNF-alpha converting enzyme, TACE, catalytic domain
d.92.1.11;Matrix metalloproteases, catalytic domain
d.92.1.15;Predicted metal-dependent hydrolase
d.92.1.16;Caur0242-like
d.92.1.17;TTHA0227-like
d.92.2.1;beta-N-acetylhexosaminidase domain
d.92.2.2;alpha-D-glucuronidase, N-terminal domain
d.92.2.3;Hyaluronidase N-terminal domain-like
d.93.1.1;SH2 domain
d.94.1.1;HPr-like
d.94.2.1;Putative transcriptional regulator TM1602, C-terminal domain
d.286.1.1;TrkA C-terminal domain-like
d.237.1.1;Hypothetical protein YjiA, C-terminal domain
d.206.1.1;YggU-like
d.95.1.1;Glucose permease domain IIB
d.95.2.1;Group I mobile intron endonuclease
d.95.2.2;Intein endonuclease
d.96.1.1;GTP cyclohydrolase I
d.96.1.2;6-pyruvoyl tetrahydropterin synthase
d.96.1.3;DHN aldolase/epimerase
d.96.1.4;Urate oxidase (uricase)
d.96.2.1;ApbE-like
d.96.2.2;DVU1097-like
d.97.1.1;Cell cycle regulatory proteins
d.368.1.1;Yonk-like
d.98.1.1;beta-lactamase-inhibitor protein, BLIP
d.98.2.1;BT0923-like
d.99.1.1;Ribosomal protein L9 C-domain
